,pct_max_score,learner_model,interactive,psiturk_log_uuid,level_number
2798,100.0,literal,False,,10
2799,100.0,pragmatic,False,,10
2800,0.0,human,True,,1
2801,-31.25,neural,False,,1
2802,0.0,human,True,,2
2803,100.0,neural,False,,2
2804,100.0,human,True,,3
2805,35.294117647058826,neural,False,,3
2806,0.0,human,True,,4
2807,50.0,neural,False,,4
2808,-24.0,human,True,,5
2809,100.0,neural,False,,5
2810,0.0,human,True,,6
2811,26.666666666666668,neural,False,,6
2812,0.0,human,True,,7
2813,0.0,neural,False,,7
2814,0.0,human,True,,8
2815,50.0,neural,False,,8
2816,40.74074074074074,human,True,,9
2817,74.07407407407408,neural,False,,9
2818,0.0,human,True,,10
2819,100.0,neural,False,,10
2820,-12.5,human,True,,1
2821,-31.25,neural,False,,1
2822,62.5,human,True,,2
2823,100.0,neural,False,,2
2824,100.0,human,True,,3
2825,-17.647058823529413,neural,False,,3
2826,100.0,human,True,,4
2827,-20.833333333333332,neural,False,,4
2828,100.0,human,True,,5
2829,100.0,neural,False,,5
2830,-20.0,human,True,,6
2831,26.666666666666668,neural,False,,6
2832,100.0,human,True,,7
2833,100.0,neural,False,,7
2834,100.0,human,True,,8
2835,58.333333333333336,neural,False,,8
2836,74.07407407407408,human,True,,9
2837,74.07407407407408,neural,False,,9
2838,100.0,human,True,,10
2839,100.0,neural,False,,10
2840,31.25,human,True,,1
2841,-18.75,neural,False,,1
2842,56.25,human,True,,2
2843,100.0,neural,False,,2
2844,35.294117647058826,human,True,,3
2845,76.47058823529412,neural,False,,3
2846,8.333333333333332,human,True,,4
2847,100.0,neural,False,,4
2848,8.0,human,True,,5
2849,100.0,neural,False,,5
2850,-13.333333333333334,human,True,,6
2851,100.0,neural,False,,6
2852,42.857142857142854,human,True,,7
2853,92.85714285714286,neural,False,,7
2854,58.333333333333336,human,True,,8
2855,58.333333333333336,neural,False,,8
2856,74.07407407407408,human,True,,9
2857,100.0,neural,False,,9
2858,100.0,human,True,,10
2859,100.0,neural,False,,10
2860,-12.5,human,True,,1
2861,-31.25,neural,False,,1
2862,100.0,human,True,,2
2863,-87.5,neural,False,,2
2864,29.411764705882355,human,True,,3
2865,35.294117647058826,neural,False,,3
2866,20.833333333333332,human,True,,4
2867,-20.833333333333332,neural,False,,4
2868,100.0,human,True,,5
2869,80.0,neural,False,,5
2870,-20.0,human,True,,6
2871,-20.0,neural,False,,6
2872,42.857142857142854,human,True,,7
2873,0.0,neural,False,,7
2874,100.0,human,True,,8
2875,50.0,neural,False,,8
2876,74.07407407407408,human,True,,9
2877,74.07407407407408,neural,False,,9
2878,100.0,human,True,,10
2879,100.0,neural,False,,10
2880,-93.75,human,True,,1
2881,-6.25,neural,False,,1
2882,-93.75,human,True,,2
2883,-93.75,neural,False,,2
2884,35.294117647058826,human,True,,3
2885,64.70588235294117,neural,False,,3
2886,-75.0,human,True,,4
2887,100.0,neural,False,,4
2888,48.0,human,True,,5
2889,0.0,neural,False,,5
2890,60.0,human,True,,6
2891,-26.666666666666668,neural,False,,6
2892,42.857142857142854,human,True,,7
2893,-121.42857142857142,neural,False,,7
2894,100.0,human,True,,8
2895,-75.0,neural,False,,8
2896,59.25925925925925,human,True,,9
2897,74.07407407407408,neural,False,,9
2898,35.0,human,True,,10
2899,-25.0,neural,False,,10
2900,31.25,human,True,,1
2901,37.5,neural,False,,1
2902,-93.75,human,True,,2
2903,100.0,neural,False,,2
2904,0.0,human,True,,3
2905,64.70588235294117,neural,False,,3
2906,20.833333333333332,human,True,,4
2907,100.0,neural,False,,4
2908,100.0,human,True,,5
2909,48.0,neural,False,,5
2910,26.666666666666668,human,True,,6
2911,26.666666666666668,neural,False,,6
2912,100.0,human,True,,7
2913,100.0,neural,False,,7
2914,58.333333333333336,human,True,,8
2915,58.333333333333336,neural,False,,8
2916,74.07407407407408,human,True,,9
2917,74.07407407407408,neural,False,,9
2918,100.0,human,True,,10
2919,100.0,neural,False,,10
2920,31.25,human,True,,1
2921,0.0,neural,False,,1
2922,100.0,human,True,,2
2923,100.0,neural,False,,2
2924,35.294117647058826,human,True,,3
2925,35.294117647058826,neural,False,,3
2926,100.0,human,True,,4
2927,100.0,neural,False,,4
2928,72.0,human,True,,5
2929,100.0,neural,False,,5
2930,26.666666666666668,human,True,,6
2931,26.666666666666668,neural,False,,6
2932,64.28571428571429,human,True,,7
2933,100.0,neural,False,,7
2934,100.0,human,True,,8
2935,100.0,neural,False,,8
2936,100.0,human,True,,9
2937,74.07407407407408,neural,False,,9
2938,55.00000000000001,human,True,,10
2939,100.0,neural,False,,10
2940,37.5,human,True,,1
2941,43.75,neural,False,,1
2942,100.0,human,True,,2
2943,-56.25,neural,False,,2
2944,-105.88235294117648,human,True,,3
2945,-105.88235294117648,neural,False,,3
2946,45.83333333333333,human,True,,4
2947,-62.5,neural,False,,4
2948,0.0,human,True,,5
2949,-8.0,neural,False,,5
2950,26.666666666666668,human,True,,6
2951,-60.0,neural,False,,6
2952,-121.42857142857142,human,True,,7
2953,-121.42857142857142,neural,False,,7
2954,100.0,human,True,,8
2955,100.0,neural,False,,8
2956,74.07407407407408,human,True,,9
2957,74.07407407407408,neural,False,,9
2958,100.0,human,True,,10
2959,0.0,neural,False,,10
2960,31.25,human,True,,1
2961,-62.5,neural,False,,1
2962,100.0,human,True,,2
2963,100.0,neural,False,,2
2964,100.0,human,True,,3
